"merchant","main_category","count"
"13:47","Miscellaneous","1"
"526099XXXXXX2460","Financial","1"
"530112960769#28","Financial","1"
"530119906282#28","Financial","1"
"ALAMELU K","Financial","1"
"ANUSHA E","Miscellaneous","1"
"APPLE MED","Miscellaneous","1"
"BALAKRISHNAN GANESAN","Financial","2"
"BHUVANESHWARI GANESA","Financial","1"
"BHUVANESHWARI GANESA","Religious Goods","1"
"CASH","Financial","1"
"CB0119859005","Financial","1"
"DAILY FR","Lifestyle","1"
"FAMILIES","Family","1"
"FUND IDFC FIRST ACCO","Financial","1"
"GOOGLE IN","Lifestyle","3"
"INDIAN CL","Miscellaneous","7"
"JITU RA","Miscellaneous","1"
"LIC OF INDIA","Financial","1"
"LOAVES A","Food","2"
"MR U SURESH KUMAR","Financial","1"
"NAMRATA","Financial","1"
"NAMRATA","Miscellaneous","1"
"POPULAR","Lifestyle","1"
"R K R EN","Miscellaneous","1"
"S KARTHI","Miscellaneous","1"
"S.MADU","Miscellaneous","1"
"SHIVU N","Miscellaneous","1"
"ZERODHA BROKING LIMIT","Financial","1"
